Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Low-voltage smart electric energy meter,,0x02,0x88,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xD3,Coefficient,This property indicates the coefficient for converting measured cumulative amount of electric energy and historical data to actual usage amount using a 6-digit decimal notation.,0x00000000–0x000F423F (000000–999999),-,unsigned long,4,-,-,optional,-,
0xD7,Number of effective digits for cumulative amounts of electric energy,This property indicates the number of effective digits for measured cumulative amounts of electric energy.,0x01–0x08 (1–8),digit,unsigned char,1,-,-,mandatory,-,
0xE0,Measured cumulative amount of electric energy (normal direction),This property indicates the measured cumulative amount of electric energy using an 8-digit decimal notation number.,"0x00000000–0x05F5E0FF (0–99,999,999)",kWh,unsigned long,4,-,-,mandatory,-,
0xE1,Unit for cumulative amounts of electric energy (normal and reverse directions),This property indicates the unit (multiplying factor) used for the measured cumulative amount of electric energy and the historical data of measured cumulative amounts of electric energy.,"0x00: 1kWh
0x01: 0.1kWh
0x02: 0.01kWh
0x03: 0.001kWh
0x04: 0.0001kWh
0x0A: 10kWh
0x0B: 100kWh
0x0C: 1000kWh
0x0D: 10000kWh",-,unsigned char,1,-,-,mandatory,-,
0xE2,Historical data of measured cumulative amounts of electric energy 1(normal direction),"This property indicates the day for which the historical data of measured cumulative amounts of electric energy is to be retrieved 1 and the historical data of measured cumulative amounts of electric energy (normal direction), which consists of 48 items of half-hourly data for the preceding 24 hours (00:00 to 23:30) of the day by time series from the highest-order byte.","0x0000–0x0063: 0x00000000–0x05F5E0FF (0–99):(0–99,999,999)",kWh,unsigned short + unsigned long×48,194,-,-,mandatory,-,
0xE3,Measured cumulative amounts of electric energy (reverse direction),This property indicates the measured cumulative amounts of electric energy using an 8-digit decimal notation number.,"0x00000000–0x05F5E0FF (0–99,999,999)",kWh,unsigned long,4,-,-,mandatory,-,Note 1
0xE4,Historical data of measured cumulative amounts of electric energy 1(reverse direction),"This property indicates the day for which the historical data of measured cumulative amounts of electric energy is to be retrieved 1 and the historical data of measured cumulative amounts of electric energy (reverse direction), which consists of 48 items of half-hourly data for the preceding 24 hours (00:00 to 23:30) of the day by time series from the highest-order byte.","0x0000–0x0063: 0x00000000–0x05F5E0FF (0–99): (0–99,999,999)",kWh,unsigned short + unsigned long×48,194,-,-,mandatory,-,Note 1
0xE5,Day for which the historical data of measured cumulative amounts of electric energy is to be retrieved 1,This property indicates the day for which the historical data of measured cumulative amounts of electric energy (which consists of 48 items of half-hourly data for the preceding 24 hours) is to be retrieved.,0x00–0x63 (0–99) 0: current day 1–99: previous day – day that precedes the current day by 99 days,,unsigned char,1,-,mandatory,mandatory,-,
0xE7,Measured instantaneous electric energy,This property indicates the measured effective instantaneous electric energy in 1W unit.,"0x80000001–0x7FFFFFFD (-2,147,483,647– 2,147,483,645)",W,signed long,4,-,-,mandatory,-,
