クラス名,備考,,
低圧スマート電力量メータ,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ＯＮ＝0x30，ＯＦＦ＝0x31
0xD3,係数,積算電力量計測値、履歴を実使用量に換算する係数を10進表記において6桁で示す。,0x00000000~0x000F423F (000000~999999)
0xD7,積算電力量有効桁数,積算電力量計測値の有効桁数を示す。,0x01~0x08 (1~8)
0xE0,積算電力量計測値（正方向計測値）,積算電力量を10進表記において、最大8桁で示す。,"0x00000000~0x05F5E0FF (0~99,999,999)"
0xE1,積算電力量単位（正方向、逆方向計測値）,積算電力量計測値、履歴の単位（乗率）を示す。,"0x00：1kWh 0x01：0.1kWh
0x02：0.01kWh
0x03：0.001kWh
0x04：0.0001kWh
0x0A：10kWh
0x0B：100kWh
0x0C：1000kWh
0x0D：10000kWh"
0xE2,積算電力量計測値履歴（正方向計測値）,積算履歴収集日1と該当収集日の24時間48コマ分（0時0分~23時30分）の正方向の定時積算電力量計測値の履歴データを時系列順に上位バイトからプロパティ値として示す。,"0x0000~0x0063:0x00000000~0x05F5E0FF (0~99):(0~99,999,999)"
0xE3,積算電力量計測値（逆方向計測値）,積算電力量を10進表記において、最大8桁で示す。,"0x00000000~0x05F5E0FF (0~99,999,999)"
0xE4,積算電力量計測値履歴1（逆方向計測値）,積算履歴収集日1と該当収集日の24時間48コマ分(0時0分~23時30分)の逆方向の定時積算電力量計測値の履歴データを時系列順に上位バイトからプロパティ値として示す。,"0x0000~0x0063:0x00000000~0x05F5E0FF (0~99):(0~99,999,999)"
0xE5,積算履歴収集日1,30分毎の計測値履歴データを収集する日を示す。,0x00~0x63 (0~99) 0:当日 1~99:前日の日数
0xE7,瞬時電力計測値,電力実効値の瞬時値を1W単位で示す。,"0x80000001~0x7FFFFFFD (-2,147,483,647~2,147,483,645)"
0xE8,瞬時電流計測値,実効電流値の瞬時値を0.1A単位でR相T相を並べて示す。 単相2線式の場合は、T相に0x7FFEをセット。,"0x8001~0x7FFD(R相):0x8001~0x7FFD(T相) (-3,276.7~3,276.5):(-3,276.7~3,276.5)"
0xEA,定時積算電力量計測値（正方向計測値）,"最新の30分毎の計測時刻における積算電力量（正方向計測値）を、計測年月日を4バイト、計測時刻を3バイト、積算電力量（正方向計測値）4バイトで示す。
・計測年月日 YYYY:MM:DD
・計測時刻 hh:mm:ss
・積算電力量 10進表記で最大8桁","1~4バイト目:計測年月日 YYYY:0x0001~0x270F(1~9999) MM:0x01~0x0C(1~12) DD:0x01~0x1F(1~31)
5~7バイト目:計測時刻 hh:0x00~0x17(0~23) mm:0x00~0x3B(0~59) ss:0x00~0x3B(0~59)
8~11バイト目: 0x00000000~0x05F5E0FF(0~99,999,999)"
0xEB,定時積算電力量計測値（逆方向計測値）,"最新の30分毎の計測時刻における積算電力量(逆方向計測値)を、計測年月日を4バイト、計測時刻を3バイト、積算電力量(逆方向計 測値)4バイトで示す。
・計測年月日 YYYY:MM:DD
・計測時刻 hh:mm:ss
・積算電力量10進表記で最大8桁","1~4バイト目:計測年月日 YYYY:0x0001~0x270F (1~9999) MM:0x01~0x0C(1~12) DD:0x01~0x1F(1~31)
5~7バイト目:計測時刻 hh:0x00~0x17(0~23) mm:0x00~0x3B(0~59) ss:0x00~0x3B(0~59)
8~11バイト目: 0x00000000~0x05F5E0FF(0~99,999,999)"
0xEC,積算電力量計測値履歴2（正方向、逆方向計測値）,"積算履歴収集日時、収集コマ数及び積算電力量(最大8桁)の計測結果履歴を、正・逆30分毎のデータで過去最大6時間分示す。
・積算履歴収集日時 YYYY:MM:DD:hh:mm
・収集コマ数
・積算電力量 10進表記において最大8桁、最大6時間分","1~6バイト目:積算履歴収集日時 YYYY:0x0001~0x270F(1~9999 年) MM:0x01~0x0C(1~12 月) DD:0x01~0x1F(1~31 日) hh:0x00~0x17(0~23 時) mm:0x00/0x1E(0/30 分)
7バイト目:収集コマ数 0x01~0x0C(1~12コマ)
8バイト目以降: 積算電力量計測値（正方向）0x00000000~0x05F5E0FF(0~99,999,999) 積算電力量計測値（逆方向）0x00000000~0x05F5E0FF (0~99,999,999)"
0xED,積算履歴収集日2,"￼30分毎の計測値履歴データを収集する日時(30分単位)、及び30分毎の計測値履歴データを1コマとし、収集するコマ数を示す。","1~6バイト目:積算履歴収集日時 YYYY:0x0001~0x270F(1~9999 年) MM:0x01~0x0C(1~12 月) DD:0x01~0x1F(1~31 日) hh:0x00~0x17(0~23 時) mm:0x00/0x1E(0/30 分)
7バイト目:収集コマ数 0x01~0x0C(1~12コマ)"
